dept_no,dept_name,emp_no,last_name,first_name,from_date,to_date
d005,Development,14191,Luby,Jiann,1987-01-16,9999-01-01
d005,Development,14232,Bojadziev,Masali,1994-09-10,9999-01-01
d007,Sales,14310,Leuchs,Marlo,1987-02-23,9999-01-01
d007,Sales,14354,Bojadziev,Mong,1985-08-28,9999-01-01
d005,Development,14384,Holburn,Tomofumi,1988-02-13,9999-01-01
d005,Development,14483,Marrevee,Supot,1986-01-30,9999-01-01
d005,Development,14560,Driscoll,Elrique,1985-05-21,9999-01-01
d005,Development,14581,Condotta,Gao,1988-06-28,9999-01-01
d007,Sales,14607,Selvestrel,Suzette,1994-06-26,9999-01-01
d007,Sales,14621,Wixon,Souichi,1987-01-20,9999-01-01
d007,Sales,14639,Hempstead,Arvind,1987-11-08,9999-01-01
d005,Development,14642,Kuhnemann,Florian,1987-06-05,9999-01-01
d005,Development,14645,Glinert,Laurentiu,1987-05-01,9999-01-01
d005,Development,14690,Bellone,Yechezkel,1986-02-25,9999-01-01
d005,Development,14839,Cronin,Changho,1990-04-24,9999-01-01
d005,Development,14877,Meriste,Arto,1988-06-06,9999-01-01
d005,Development,14909,Kamble,Mohan,1990-12-21,9999-01-01
d005,Development,14914,Benzaken,Gretta,1999-09-25,9999-01-01
d005,Development,14941,Lichtner,Nathan,1988-12-22,9999-01-01
d005,Development,14993,Koblitz,Sanjay,1988-04-20,9999-01-01
d007,Sales,15030,Nourani,Rasikan,1999-04-11,9999-01-01
d005,Development,15036,Delgrande,Ziva,1994-11-04,9999-01-01
d005,Development,15066,Oaver,Tomokazu,1993-06-29,9999-01-01
d005,Development,15114,Honglei,Pantung,1998-03-09,9999-01-01
d007,Sales,15134,Luiz,Arun,1992-07-23,9999-01-01
d007,Sales,15176,Sankaranarayanan,Charlene,1987-11-17,9999-01-01
d005,Development,15196,Duclos,Souichi,1992-07-09,9999-01-01
d005,Development,15230,Suessmith,Keiichiro,1993-03-17,9999-01-01
d005,Development,15234,Zhiwei,Jouko,1987-09-03,9999-01-01
d005,Development,15329,Openshaw,Fan,1997-08-16,9999-01-01
d007,Sales,15369,Penttonen,Premal,1999-08-20,9999-01-01
d005,Development,15377,Aumann,Shugo,1986-12-19,9999-01-01
d007,Sales,15382,Siegrist,Alassane,1985-12-26,9999-01-01
d005,Development,15452,Weedman,Kazuhira,1995-05-11,9999-01-01
d007,Sales,15474,Plumb,Gilbert,1994-12-04,9999-01-01
d005,Development,15480,Trogemann,Kwok,1990-04-29,9999-01-01
d005,Development,15510,Sethi,Inderjeet,1987-08-29,9999-01-01
d007,Sales,15511,Kowalchuk,George,1986-04-20,9999-01-01
d005,Development,15518,Valtorta,Uno,1990-10-03,9999-01-01
d005,Development,15525,Cherinka,Masadi,1993-04-27,9999-01-01
d007,Sales,15566,Azuma,Baoqiu,1988-04-11,9999-01-01
d007,Sales,15601,Anily,Carrsten,1994-07-10,9999-01-01
d007,Sales,15708,Kushnir,Reuven,1990-01-22,9999-01-01
d005,Development,15739,Bahr,Poorav,1999-03-02,9999-01-01
d007,Sales,15740,Pocchiola,Stepehn,1995-06-04,9999-01-01
d005,Development,15821,Antonakopoulos,Aleksander,1988-06-09,9999-01-01
d005,Development,15876,Vakili,Munehiro,1985-08-02,9999-01-01
d007,Sales,15938,Covnot,Garnik,1988-10-16,9999-01-01
d005,Development,15971,Aloia,Arumugam,1988-05-03,9999-01-01
d005,Development,15993,Peir,Yoshimitsu,1988-11-19,9999-01-01
d007,Sales,16066,Penn,Marsha,1985-09-16,9999-01-01
d005,Development,16076,Ebeling,Marko,1997-08-06,9999-01-01
d005,Development,16094,Rosar,Berto,1993-07-18,9999-01-01
d007,Sales,16233,Baba,Sushant,1987-03-24,9999-01-01
d007,Sales,16364,Gini,Yifei,1988-09-19,9999-01-01
d007,Sales,16487,Yemenis,Arunas,1992-10-18,9999-01-01
d007,Sales,16490,Thiria,Muzhong,1987-04-06,9999-01-01
d005,Development,16619,Boguraev,Arvind,1987-09-20,9999-01-01
d005,Development,16674,Takanami,Duke,1988-08-30,9999-01-01
d007,Sales,16808,Katiyar,Kiyokazu,1987-11-10,9999-01-01
d005,Development,16875,Radhakrishnan,Nikolaos,1997-10-26,9999-01-01
d007,Sales,16921,Yeung,Evgueni,1988-01-21,9999-01-01
d005,Development,16969,Braccini,Sanjit,1988-10-26,9999-01-01
d007,Sales,16993,Dahlbom,Hongzue,1987-02-13,9999-01-01
d005,Development,17012,Petereit,Valdiodio,1998-11-02,9999-01-01
d005,Development,17066,Ruther,Heping,1987-02-27,9999-01-01
d005,Development,17101,Compeau,Sandeepan,1988-01-18,9999-01-01
d007,Sales,17146,Barbanera,Aemilian,1996-07-01,9999-01-01
d005,Development,17159,Mitchem,Quingbo,1987-10-22,9999-01-01
d007,Sales,17245,Milicia,Neven,1995-01-12,9999-01-01
d005,Development,17277,Hopewell,Arnd,1987-08-25,9999-01-01
d005,Development,17326,Ramsay,Arumugam,1986-02-28,9999-01-01
d005,Development,17355,Weisert,Mingzeng,1988-08-31,9999-01-01
d007,Sales,17436,Munawer,Chirstian,1985-08-12,9999-01-01
d005,Development,17487,Staudhammer,Gully,1990-07-31,9999-01-01
d005,Development,17520,Keohane,Shahab,1988-08-08,9999-01-01
d005,Development,17539,Uhrik,Cathie,1990-12-27,9999-01-01
d007,Sales,17573,Deverell,Berthier,1987-04-05,9999-01-01
d007,Sales,17629,Winter,Mostafa,1987-11-22,9999-01-01
d007,Sales,17647,Swab,Vasilis,1989-08-04,9999-01-01
d005,Development,17674,Braccini,Adib,1986-03-19,9999-01-01
d005,Development,17677,Ramalingam,Mingdong,1992-10-04,9999-01-01
d005,Development,17699,Heping,Radhia,1985-07-21,9999-01-01
d005,Development,17745,Schreiter,Hatem,1985-05-02,9999-01-01
d005,Development,17840,Sherertz,Tonny,1985-06-20,9999-01-01
d005,Development,17973,Beidas,Sanjit,1999-09-22,9999-01-01
d007,Sales,18016,Kaminger,Somnath,1994-09-03,9999-01-01
d007,Sales,18018,Schrooten,Sasan,1985-12-10,9999-01-01
d007,Sales,18065,Wroclawski,Chriss,1986-06-18,9999-01-01
d005,Development,18134,Pesch,Ult,1992-07-31,9999-01-01
d005,Development,18138,Baezner,Moni,2000-03-10,9999-01-01
d007,Sales,18274,Karnin,Yefim,1986-06-13,9999-01-01
d007,Sales,18297,Nastansky,Guther,1985-09-07,9999-01-01
d005,Development,18310,Dalton,Ioana,1996-08-06,9999-01-01
d005,Development,18323,Tiemann,Oddvar,1994-01-25,9999-01-01
d007,Sales,18454,Anido,Eric,1988-07-18,9999-01-01
d005,Development,18511,Marzano,Pascal,1991-11-17,9999-01-01
d005,Development,18571,Flowers,Xinglin,1987-04-14,9999-01-01
d005,Development,18666,Baja,Hitofumi,1989-11-02,9999-01-01
d007,Sales,18679,Lambe,Roded,1990-11-28,9999-01-01
d007,Sales,18701,Ratnakar,Mori,1991-03-10,9999-01-01
d005,Development,18728,Luft,Tzvetan,1986-11-30,9999-01-01
d005,Development,18775,Akazan,Shay,1987-03-22,9999-01-01
d007,Sales,18789,Domenig,Reinhold,1988-02-29,9999-01-01
d007,Sales,18809,Munoz,Laurentiu,1995-10-11,9999-01-01
d005,Development,18927,Msuda,Muneo,1989-12-15,9999-01-01
d007,Sales,18994,Mitsuhashi,Leszek,1985-09-03,9999-01-01
d005,Development,19051,Cappello,Marek,1988-05-12,9999-01-01
d005,Development,19089,Ellozy,Badri,1993-04-08,9999-01-01
d005,Development,19120,Qiwen,Giri,1994-05-20,9999-01-01
d007,Sales,19134,Bakhtari,Seongbin,1988-10-29,9999-01-01
d007,Sales,19147,Bennis,Chaitali,1988-10-18,9999-01-01
d005,Development,19192,Schusler,Yinlin,1986-11-12,9999-01-01
d007,Sales,19201,Sommen,Arto,1998-04-29,9999-01-01
d007,Sales,19205,Sinitsyn,Moto,1998-02-13,9999-01-01
d005,Development,19353,Schaar,Mayumi,1985-10-28,9999-01-01
d005,Development,19425,Pettey,Xuejia,1989-06-12,9999-01-01
d005,Development,19515,Gurbaxani,Keiichiro,1985-11-21,9999-01-01
d007,Sales,19580,Tagansky,Stein,1988-04-13,9999-01-01
d005,Development,19586,Minakawa,Hirochika,1985-10-02,9999-01-01
d005,Development,19616,Uchoa,Niranjan,1998-02-13,9999-01-01
d005,Development,19621,Albarhamtoshy,Radhakrishnan,1991-06-16,9999-01-01
d007,Sales,19624,Wolniewicz,Younwoo,1985-11-11,9999-01-01
d007,Sales,19634,Etalle,Phuoc,1986-09-01,9999-01-01
d005,Development,19637,Papastamatiou,Dipayan,1985-05-26,9999-01-01
d005,Development,19653,Crooks,Gay,1985-03-26,9999-01-01
d007,Sales,19708,Biros,Ortrud,1999-03-10,9999-01-01
d005,Development,19720,Maksimenko,Kwangyoen,1987-01-13,9999-01-01
d007,Sales,19724,Hasham,Visit,1988-09-09,9999-01-01
d007,Sales,19728,Ramsey,Candido,1986-08-26,9999-01-01
d007,Sales,19826,Christ,Fox,1985-05-08,9999-01-01
d005,Development,19839,Hempstead,Tadahiro,1990-02-13,9999-01-01
d007,Sales,19849,Serre,Weicheng,1997-11-19,9999-01-01
d007,Sales,19874,Kuzuoka,Xuejia,1988-02-04,9999-01-01
d005,Development,20013,Lanphier,Jaewoo,1985-03-17,9999-01-01
d005,Development,20022,Bellone,Felicidad,1996-01-15,9999-01-01
d005,Development,20060,Attimonelli,Chrisa,1986-03-28,9999-01-01
d005,Development,20075,Oberman,Mikhail,1985-10-05,9999-01-01
d005,Development,20169,Zuberek,Gil,1994-05-05,9999-01-01
d005,Development,20245,Fujisawa,Halsur,1990-07-31,9999-01-01
d005,Development,20251,Unno,Cristinel,1998-04-17,9999-01-01
d007,Sales,20266,Kakkad,Ekawit,1988-08-14,9999-01-01
d005,Development,20367,Takanami,Bernt,1992-07-06,9999-01-01
d005,Development,20392,Sidje,Terresa,1986-07-25,9999-01-01
d005,Development,20456,Highland,Sigeru,1997-08-16,9999-01-01
d005,Development,20489,Garrabrants,Boguslaw,1985-10-22,9999-01-01
d005,Development,20490,Douceur,Soenke,1995-07-04,9999-01-01
d005,Development,20585,Butterworth,Bernd,1987-11-06,9999-01-01
d005,Development,20693,Flasterstein,Yefim,1988-11-25,9999-01-01
d007,Sales,20708,Arlazarov,Aemilian,1990-03-23,9999-01-01
d007,Sales,20728,Sessa,Billie,1988-02-18,9999-01-01
d007,Sales,20765,Viele,Steve,1988-06-17,9999-01-01
d005,Development,20793,Luft,Pranav,1994-11-19,9999-01-01
d005,Development,20903,Kemmerer,Yagil,1985-09-21,9999-01-01
d007,Sales,20923,Miara,Menkae,1988-08-02,9999-01-01
d005,Development,20968,Rijsenbrij,Nimmagadda,1996-08-12,9999-01-01
d007,Sales,21007,Junet,Christfried,1988-02-15,9999-01-01
d005,Development,21165,Pfau,Mingdong,1986-04-20,9999-01-01
d005,Development,21312,Bahi,Mani,1997-07-18,9999-01-01
d005,Development,21396,Manderick,Shaw,1990-03-27,9999-01-01
d005,Development,21402,Gecsei,Guadalupe,1993-12-18,9999-01-01
d007,Sales,21409,Yoshimura,Hongzhu,1987-08-10,9999-01-01
d007,Sales,21413,Sherertz,Laurentiu,1985-06-24,9999-01-01
d007,Sales,21421,Yoshizawa,Avishai,1994-08-11,9999-01-01
d007,Sales,21432,Weisert,Kerhong,1994-03-30,9999-01-01
d007,Sales,21542,Sherertz,Miomir,1995-03-05,9999-01-01
d005,Development,21548,Gimbel,Maren,1988-04-09,9999-01-01
d005,Development,21580,Morton,Debatosh,1997-03-17,9999-01-01
d007,Sales,21588,Masamoto,Licheng,1998-12-08,9999-01-01
d005,Development,21639,Domenig,Caolyn,1985-04-29,9999-01-01
d005,Development,21642,Erman,Shaz,1988-05-20,9999-01-01
d005,Development,21643,Maksimenko,Yuuichi,1990-04-15,9999-01-01
d005,Development,21663,Serra,Eberhardt,1988-08-24,9999-01-01
d007,Sales,21705,Luon,Aleksandar,1987-05-20,9999-01-01
d005,Development,21751,Savasere,Uinam,1993-08-26,9999-01-01
d005,Development,21754,Jonsson,Kenroku,1993-03-31,9999-01-01
d007,Sales,21820,Khasidashvili,Sanjay,1996-06-11,9999-01-01
d005,Development,21908,Parfitt,Fen,1986-03-21,9999-01-01
d007,Sales,21980,Miyakawa,Gen,1988-03-11,9999-01-01
d007,Sales,21987,Fontet,Dipankar,1999-06-24,9999-01-01
d007,Sales,21994,Babb,Lech,1986-11-09,9999-01-01
d005,Development,22024,Flexer,Weidon,1992-04-22,9999-01-01
d005,Development,22072,Pettit,Kasturi,1985-12-09,9999-01-01
d007,Sales,22140,Reghbati,Susanne,1986-01-14,9999-01-01
d007,Sales,22150,Zweizig,Kristina,1986-12-04,9999-01-01
d005,Development,22180,Luef,Iara,1997-11-26,9999-01-01
d007,Sales,22326,Skafidas,Mani,1986-12-09,9999-01-01
d007,Sales,22370,Oxenboll,Aloys,1997-09-19,9999-01-01
d005,Development,22429,Terekhov,Franziska,1985-10-17,9999-01-01
d005,Development,22437,Orsini,Xiaoqiu,1994-10-10,9999-01-01
d005,Development,22520,Ranka,Mokhtar,1990-06-18,9999-01-01
d005,Development,22536,Andreotta,Sukumar,1996-11-12,9999-01-01
d007,Sales,22557,Luon,Abdulla,1988-06-12,9999-01-01
d005,Development,22596,Wegerle,Slavian,1986-04-18,9999-01-01
d007,Sales,22609,Baalen,Zvonko,1995-10-02,9999-01-01
d005,Development,22649,Driscoll,Reuven,1993-04-28,9999-01-01
d005,Development,22682,Ananiadou,Kristina,1986-12-16,9999-01-01
d007,Sales,22691,Bottner,Morris,1996-08-05,9999-01-01
d005,Development,22702,Reeken,Faiza,1985-06-21,9999-01-01
d007,Sales,22720,Gornas,Olivera,1986-11-26,9999-01-01
d007,Sales,22728,Codenie,Makato,1986-11-21,9999-01-01
d007,Sales,22786,Usdin,Moss,1987-08-25,9999-01-01
d005,Development,22838,Markovitch,Brendon,1998-01-26,9999-01-01
d005,Development,22919,Skogmar,Georg,1989-04-12,9999-01-01
d007,Sales,22934,Plumb,Parviz,1985-03-23,9999-01-01
d005,Development,22947,Schmiedel,Herbert,1986-11-17,9999-01-01
d005,Development,23007,Spell,Hyuckchul,1997-07-21,9999-01-01
d005,Development,23023,Lenart,Premsyl,1986-06-30,9999-01-01
d005,Development,23026,Lortz,Junichi,1993-10-03,9999-01-01
d005,Development,23068,Brlek,Eldridge,1988-06-20,9999-01-01
d007,Sales,23195,Ertl,Mark,1986-09-25,9999-01-01
d005,Development,23269,Szmurlo,Aamer,1988-05-25,9999-01-01
d005,Development,23330,Cooley,Aloke,1985-10-05,9999-01-01
d005,Development,23347,Rosaz,Kwun,1993-09-23,9999-01-01
d007,Sales,23370,Bodoff,Morris,1989-06-11,9999-01-01
d005,Development,23404,Gini,Anneli,1988-04-27,9999-01-01
d007,Sales,23406,Masada,Masadi,1985-02-12,9999-01-01
d007,Sales,23454,Felcyn,Heejo,1986-12-20,9999-01-01
d005,Development,23640,Mamelak,Leucio,1985-06-08,9999-01-01
d007,Sales,23676,Openshaw,Sham,1989-12-17,9999-01-01
d007,Sales,23677,Sevcikova,Rafael,1997-10-26,9999-01-01
d007,Sales,23703,Thimonier,Prodip,1997-09-02,9999-01-01
d005,Development,23707,Ananiadou,Yoshimitsu,1989-03-21,9999-01-01
d007,Sales,23761,Menhardt,Jouni,1997-05-29,9999-01-01
d005,Development,23777,Kilgore,Juichirou,1985-02-28,9999-01-01
d005,Development,23872,Ranst,Cedric,1991-02-03,9999-01-01
d007,Sales,23877,Motley,Tesuro,1986-09-24,9999-01-01
d005,Development,23883,Ozery,Dayanand,1987-07-06,9999-01-01
d005,Development,23924,Solovay,Shakhar,1985-07-22,9999-01-01
d005,Development,23969,Sullins,Elgin,1986-09-16,9999-01-01
d007,Sales,24118,Monarch,Elliott,1990-09-21,9999-01-01
d005,Development,24178,Sherertz,Jouko,1999-09-25,9999-01-01
d005,Development,24199,Bach,Iara,1985-09-20,9999-01-01
d007,Sales,24225,Eiter,Shugo,1988-11-08,9999-01-01
d005,Development,24389,Shimshoni,Kenroku,1996-07-07,9999-01-01
d007,Sales,24429,Anger,Murthy,1992-01-14,9999-01-01
d005,Development,24459,Puoti,Masako,1988-01-08,9999-01-01
d005,Development,24497,Rando,Jackson,1991-06-13,9999-01-01
d005,Development,24508,Penn,Uzi,1992-04-25,9999-01-01
d007,Sales,24522,Hopewell,Shunichi,1996-03-15,9999-01-01
d005,Development,24525,Gelosh,Ronnie,1988-04-03,9999-01-01
d005,Development,24526,Sudbeck,Ayonca,1992-07-25,9999-01-01
d007,Sales,24596,Stranks,Ayonca,1994-07-02,9999-01-01
d005,Development,24617,Cullers,Ramachenga,1986-04-01,9999-01-01
d005,Development,24657,Silva,Berna,1990-01-26,9999-01-01
d005,Development,24696,Munoz,Ohad,1988-09-30,9999-01-01
d007,Sales,24725,Openshaw,Yechezkel,1988-06-01,9999-01-01
d005,Development,24728,Trumbly,Margo,1990-06-10,9999-01-01
d005,Development,24752,Mersereau,Fan,1998-02-09,9999-01-01
d007,Sales,24790,Chachaty,Kiyokazu,1986-08-25,9999-01-01
d007,Sales,24793,Brizzi,Kristen,1991-01-01,9999-01-01
d007,Sales,24888,Felder,Murthy,1985-03-31,9999-01-01
d007,Sales,24909,Garrabrants,Constantine,1996-12-30,9999-01-01
d005,Development,24915,Liedekerke,Morris,1986-04-14,9999-01-01
d005,Development,24925,Thebaut,Gennady,1986-09-23,9999-01-01
d005,Development,24963,Redmiles,Cathie,1987-05-13,9999-01-01
d007,Sales,25003,Benzmuller,Dietrich,1993-10-15,9999-01-01
d005,Development,25050,Fraisse,Jahangir,1987-08-29,9999-01-01
d007,Sales,25085,Usery,Tran,1985-05-03,9999-01-01
d005,Development,25138,Marrakchi,Guadalupe,1987-04-28,9999-01-01
d005,Development,25145,Ashish,Serge,1990-10-22,9999-01-01
d005,Development,25220,Mullainathan,Shuho,1986-11-18,9999-01-01
d005,Development,25254,Peek,Matt,1994-07-30,9999-01-01
d005,Development,25302,Minakawa,Susanna,1994-05-01,9999-01-01
d005,Development,25327,Miculan,Mohamadou,1997-05-04,9999-01-01
d005,Development,25335,Itzfeldt,Etsuo,1991-07-10,9999-01-01
d005,Development,25339,Bale,Brewster,1986-06-22,9999-01-01
d007,Sales,25371,Ishibashi,Goh,1988-01-06,9999-01-01
d005,Development,25376,Panienski,Nathan,1989-04-14,9999-01-01
d005,Development,25462,Rohrbach,Vasilii,1986-03-26,9999-01-01
d005,Development,25475,Fujisaki,Flemming,1995-09-23,9999-01-01
d005,Development,25504,Servi,Pramod,1990-10-29,9999-01-01
d007,Sales,25599,Pillow,Masoud,1986-05-13,9999-01-01
d007,Sales,25603,Desikan,Kwangsub,1985-09-10,9999-01-01
d005,Development,25632,Ramamoorthy,Arunachalam,1990-05-20,9999-01-01
d005,Development,25656,Narwekar,Eben,1998-05-20,9999-01-01
d005,Development,25673,Azulay,Ottavia,1995-06-26,9999-01-01
d007,Sales,25717,Speek,Froduald,1993-11-03,9999-01-01
d005,Development,25755,Setiz,Aria,1987-06-25,9999-01-01
d005,Development,25777,Famili,Leucio,1992-01-26,9999-01-01
d007,Sales,25841,Ernst,Shahab,1988-03-22,9999-01-01
d005,Development,25873,Codenie,Yakichi,1986-10-16,9999-01-01
d005,Development,25880,Pintelas,Zhanqiu,1986-11-21,9999-01-01
d005,Development,25918,Iisaka,Yoshimitsu,1988-05-11,9999-01-01
d007,Sales,25935,Parascandalo,Berhard,1992-07-24,9999-01-01
d007,Sales,25963,Fandrianto,Jiakeng,1992-07-07,9999-01-01
d005,Development,25972,Escriba,Demos,1991-08-25,9999-01-01
d007,Sales,26053,Szmurlo,Heekeun,1988-08-02,9999-01-01
d007,Sales,26086,Beutelspacher,Turgut,1985-11-12,9999-01-01
d007,Sales,26113,Brandsma,Larisa,1997-11-18,9999-01-01
d005,Development,26119,Vesna,Akeno,1995-12-16,9999-01-01
d005,Development,26121,Krichel,Ipke,1990-09-25,9999-01-01
d007,Sales,26252,Flowers,Haldun,1987-08-18,9999-01-01
d007,Sales,26317,Weedman,Valdiodio,1985-07-14,9999-01-01
d007,Sales,26344,Sabnani,Duke,1988-02-13,9999-01-01
d005,Development,26378,Streng,Huiqun,1988-12-09,9999-01-01
d005,Development,26379,Hutton,Falguni,1987-11-03,9999-01-01
d007,Sales,26391,Kermarrec,Baoqiu,1985-04-25,9999-01-01
d005,Development,26486,Simkin,Taegyun,1988-05-20,9999-01-01
d005,Development,26543,Koyama,Zhonghua,1987-12-04,9999-01-01
d005,Development,26683,Covnot,Kayoko,1987-04-27,9999-01-01
d007,Sales,26750,Denis,Baziley,1985-02-14,9999-01-01
d005,Development,26770,Ghelli,Ibibia,1996-08-11,9999-01-01
d007,Sales,26808,DuCasse,Jeanne,1987-11-01,9999-01-01
d005,Development,26828,Haddadi,Maha,1992-04-05,9999-01-01
d005,Development,26856,Cooke,Kazuhiko,1985-08-04,9999-01-01
d005,Development,26869,Vecchio,Jasminko,1985-10-29,9999-01-01
d007,Sales,26902,Welham,Reinhold,1993-01-02,9999-01-01
d007,Sales,27056,Hiyoshi,Leen,1997-08-22,9999-01-01
